选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
1,J1,9,3.7,9.5,1,5,8,7.8,0,7,0,,-15
1,J2,8.9,4.4,10,2.9,7.5,6.8,6,20,6,7.5,,-15
2,J1,10,4,7,4,9,5,5,18,8,8,,0
2,J2,10,4,5,3.5,8,7,6,18,8,7,,0
3,J1,8.8,5,8.5,3.8,9.7,8,5.3,18.2,7,7.5,,0
3,J2,8.9,4.5,9.1,3.6,9.4,8.5,7.9,17.9,8.8,8.8,,0
4,J1,8,3,9,4,7,7,6,16,6,6,,0
4,J2,9,2.5,7.5,3.5,6,6.5,6,16,7,6,,0
5,J1,8.9,4,6,4.3,8.5,6.8,9,17,6.3,8,,0
5,J2,9.8,4.9,7.5,3.1,9.5,8.7,8.8,18,9.2,8.9,,0
