选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9.3,27.4,11.8,11.4,24.8,2.5,0
A1,J2,8.8,27.5,12.8,12.6,27.7,2.5,0
A2,J1,8,21.4,9.7,10,22.5,1.5,0
A2,J2,8.4,21,10.5,10.8,22.8,1.5,0
A3,J1,8.7,18.3,9,8,16.7,1,0
A3,J2,8.9,20.5,9.5,9.5,19,1.5,0
B1,JR1,9,28,13.5,13.5,27,4,0
B1,JR2,9.2,29,14,13,27.5,3.5,0
B2,JR1,8.5,27.5,13.5,13.5,27,4.5,0
B2,JR2,9.2,28.5,13.5,12.8,27.5,4,0
B3,JR1,9,28,13,13.5,28,5,0
B3,JR2,9.8,29.5,13.5,13.5,28.5,3.5,0
B4,JR1,9.5,27,11,13.5,27,4.5,0
B4,JR2,8.5,28.5,12.5,13,27,4.5,0
C1,J1,9.5,26.5,11,13,27,4,0
C1,J2,9.4,27,11.6,12.6,27.8,3.5,0
C2,J1,9.5,28,14,12.5,28,4.5,0
C2,J2,9.5,28.5,14.3,13,28.5,3,0
C3,J1,7,15,6,8,21,3,0
C3,J2,7,17,5,9.5,15,0.5,0
C4,J1,9,24.5,10.5,11.5,24.5,3,0
C4,J2,8.7,26,11.2,12.5,26.5,1.5,0
D1,J1,8.2,25,10.6,12.2,24.3,3,0
D1,J2,8.5,25,9,12.5,24,2,0
D2,J1,9.4,27,10.5,13.5,25.5,2,0
D2,J2,9.6,27,11,12.5,26,3,0
D3,J1,7.5,28.4,13.7,12.5,27.3,4,0
D3,J2,7,29.5,14.5,12.5,25,4.5,0
