选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
1A,J1,9.9,28.3,12.8,14,29.3,4,0
1A,J2,9.2,29,12,14.2,28.7,4,0
1B,J1,9.1,26.8,11.5,12.4,26.9,6.5,0
1B,J2,9,26.7,10.3,12.1,26.9,6,0
2A,J1,9.2,27.5,12.3,13,27.2,6.5,0
2A,J2,9.6,27.7,12.5,13,27.8,6.5,0
2B,J1,7.5,23.6,10.5,10.3,24.2,4,0
2B,J2,7.9,25,11.7,10.5,24.7,4,0
3A,J1,9,26,13.5,12.8,26.8,7,0
3A,J2,9.2,28.2,13,13,27.3,8,0
4A,J1,9.4,25.5,10.8,10.5,24.3,6,0
4A,J2,10,26,10.5,11,26,4.5,0
4B,J1,9.6,28.3,12.8,12.8,28,6,0
4B,J2,8.7,27.8,12.7,12.2,27.3,5.5,0
