选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,8,26,11.9,13.2,26.1,1,0
A1,J2,7.8,26,11.2,12.4,26,1,0
A2,J1,9.2,25,10.1,11.7,24.4,1.5,0
A2,J2,8.5,23.4,10.2,11.5,23,1,0
A3,J1,4.6,19.9,10.7,3.5,5,0.5,0
A3,J2,6.5,12,8.5,2,6,0.5,0
B1,~J1,9,26,10.3,12.8,25,2.5,0
B1,J2,9.5,25.2,10,11,25,3,0
B1,JR1,9,26.5,11.5,13,26.5,2.5,0
B2,JR1,8,27,12.5,12.5,26,3.5,0
B2,J2,8.7,27.8,12.2,12.7,27.3,4,0
B3,JR1,9,27,12.5,12.5,26,2,0
B3,J2,9.6,27,10.8,12.1,26.8,3.5,0
B4,JR1,9.5,28,13,11,25.5,3,0
B4,J2,9.8,28,13.8,11.2,25.9,3,0
C1,J1,9.5,26,10.2,12,26.5,3,0
C1,J2,9.3,26.2,10.5,12.5,27,1.5,0
C3,J1,7,15,5,8.5,15,2,0
C3,J2,6,12,6,5,12,1,0
C4,J1,8.5,21,9.5,10.5,22.5,3.5,0
C4,J2,8.4,25.3,11,12.3,26,2.5,0
D1,J1,8.7,23.3,11.8,10.5,22.6,3,0
D1,J2,9,23,10,11,23.5,3,0
D2,J1,9.8,28,11.5,13.6,27,1,0
D2,J2,9.9,28.5,11,13,27,2,0
D3,J1,7.1,18,12.9,11,23,4.5,0
D3,J2,7.1,18,12.9,11,23,4.5,0
