选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9.9,29,13.4,13,27,,0
A1,JR1,9.7,28.4,11.8,12.8,28,,0
A2,J1,8.5,25,12,12,26,,0
A2,J2,7.6,24,11.8,11.2,23.8,,0
B1,J1,9,28,13,13,27.5,,0
B1,J2,9.7,28.9,11.3,13,27.3,,0
B2,J1,8,23,9.5,11,22.5,,0
B2,J2,9,23,9.9,11,24,,0
C1,J1,9.5,24.5,12,11,25,,0
C1,J2,9.4,25,11,11.5,26,,0
D1,J1,9.6,26,12,13,26,,0
D1,J2,9.5,26.3,10.9,12.6,26,,0
D2,J1,8.8,25.3,11,11.7,24.6,,0
D2,J2,9,26,11,12.9,25.7,,0
D3,J1,9.5,27,12,11,25.8,,0
D3,J2,9.6,26.8,10.6,12.8,26.3,,0
D4,J1,7,19,8,6,18,,0
D4,J2,7.3,16,9.5,0.9,2,,0
