选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,JR1,10,26.5,12.6,11.5,25,4,0
A1,JR2,10,28,12,13,28,4,0
A2,JR1,6.6,23,11.5,9,21,2.5,0
A2,JR2,7,24,11.5,11,20,3,0
A4,J1,9.5,28,13,13,27.5,2,0
A4,JR1,9.6,28,12,12.5,26.5,4,0
B1,JR,10,27.5,9.5,12.5,26,3,0
B1,J2,9.9,27,9,12.5,25.2,3,0
B2,J1,8.5,27,13,12,26.5,2.5,0
B2,J2,8.6,27,12,13,27.4,2.5,0
B4,JR,7.7,24.5,11,11,26,3.5,0
B4,J2,7.4,24.1,10,13,25,3,0
C1,J1,8.6,25,11,11,24.5,2,0
C1,J2,9.2,25,11.5,10.5,24,1.5,0
D1,J1,8.5,26,13,13,25.5,4,0
D1,J2,9.7,27.5,11.7,12.8,26.5,4,0
D2,J1,8.8,24.5,11,12,24.5,3,0
D2,J2,9.4,24.8,10.5,11.2,24.8,2.5,0
D3,J1,9.5,25,12.5,11,25,2.5,0
D3,J2,9.2,25,11.2,11.5,25.7,2.5,0
D4,J1,7,17,8,8,18,1,0
D4,J2,7.8,18.5,9.5,7.5,15,1,0
