选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,8.6,25.4,11.9,12.1,26.3,0,0
A1,J2,8.1,25.5,12.2,12,26,0,0
A2,J1,8.5,25,10.4,11.7,25,0,0
A2,J2,8.7,25,10,11.8,26,0,0
A3,J1,8.1,23.1,12,9.3,22.2,0,0
A3,J2,8.3,23,13.5,8,22,0,0
A4,J1,8.4,26.5,12.6,12.2,25.8,0,0
A4,J2,8.5,26.7,12.5,12.2,26.8,0,0
B1,J1,9.6,27.6,12.5,12.3,27.3,0,0
B1,J2,9.5,27.8,12.5,12.5,27.6,0,0
B2,J1,9.2,27.8,13.2,12.3,27.7,0,0
B2,J2,9.6,28,13,13,27.3,0,0
B3,J1,8.6,21,11.8,10.2,22.7,0,0
B3,J2,9.3,24,11.5,10.6,21.5,0,0
B4,J1,9,25.2,11.3,11.6,24.8,0,0
B4,J2,8.8,24.5,11,11,23.5,0,0
C1,J1,9.7,28.2,12,13,28,0,0
C1,J2,9.5,28,10.5,14,27,0,0
C2,J1,7.5,20,10,10.5,20,0,0
C2,J2,7,19,11,11.5,21,0,0
C3,J1,7.5,16,6,3.8,18,0,0
C3,J2,7.5,16,6,3.8,18,0,0
C4,J1,8.2,24,10.5,11.5,24.5,0,0
C4,J2,9,23,11,12.5,23,0,0
D1,J1,9.9,27,13,11.9,27.5,0,0
D1,J2,9.9,28,13,13.1,26.7,0,0
D3,J1,9.5,15,10.3,10.1,19,0,0
D3,J2,9.5,15,10.3,10.1,19,0,0
D4,J1,8.3,19,9.5,10.3,22.4,0,0
D4,J2,7.9,17.3,10.5,10.6,22.6,0,0
