选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,7.7,25.5,12,11.5,25,2,0
A1,J2,8.3,26,12.5,11,25.7,2.5,0
A2,J1,9.5,26,10.5,11,24,3,0
A2,J2,8.9,25.2,11.8,10.5,24,2.5,0
A3,J1,9,26.8,10.5,11.8,27,2.5,0
A3,J2,8.8,27,11.8,12,26.5,2.5,0
A4,J1,9,26,10.8,11.5,25.5,2.5,0
A4,J2,8.2,25.8,12,11.2,25.8,3.5,0
B1,J1,9.8,22,12.2,12.1,26.3,2,0
B1,J2,9.8,22,12.2,12.1,26.3,2,0
B2,J1,9.5,27.5,12,13,25,3,0
B2,J2,9.8,27.8,12.7,11.8,24.5,3,0
B3,J1,7.5,24,9.5,11.5,24.5,1.5,0
B3,J2,7.9,25.8,10.3,12.2,26.6,2.5,0
B4,J1,7,22,8.5,10.5,22.5,2.5,0
B4,J2,6.9,22.1,8.5,9.5,20.2,1.5,0
C2,J1,9,25.5,12,13,26,3,0
C2,J2,9.1,26.5,12,11.9,27,3.5,0
C3,J1,8.5,19.5,9,8,20,1,-40
C3,J2,9.5,22,9,11,22,1,-40
C4,J1,6,20,10,10,23,1,0
C4,J2,6.5,21,9.1,11,23,1.5,0
D1,J1,8.6,27,12,12.2,26,1.5,0
D1,J2,9.6,28.2,13,12.8,28.7,1,0
D2,J1,9.3,27.5,11.7,11.8,26,4,0
D2,J2,9.8,27.8,11.5,12.4,27,3.5,0
D3,J1,8.6,24.5,12,10,23.5,1.5,0
D3,J2,9.3,25,12,10.8,24,2.5,0
D4,J1,8.6,26,12,11,24.5,3,0
D4,J2,8.4,25.5,11.5,11,24.5,2.5,0
