选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9.5,28,12.5,13,27.5,3,0
A1,JR2,9.7,28,12.8,12.8,27.5,4,0
A2,J1,8.8,27,13.5,12.5,27.5,4,0
A2,JR2,8,27.5,13,12.3,27.5,3.5,0
A3,J1,8.8,26,11,12,26.5,2,0
A3,JR2,8.5,25.5,10.5,13,27.3,2,0
A4,J1,8.2,22,12,10.5,23,1.5,0
A4,JR2,8,24.5,11.5,10.8,24.5,3,0
B1,J1,9.6,28.5,12.5,13.8,27.8,2,0
B1,J2,9.8,27.9,12.2,14,28,2,0
B2,J1,7.8,23,10.3,10.5,23,1.5,-10
B2,J2,8,23,10,10.5,21,1.5,-10
B3,J1,7.6,17.5,12.5,10.5,23.5,2,0
B3,J2,7.5,16,12,11.5,24.5,1.5,0
C2,J1,7,25.9,10.9,12.8,25.9,2,0
C2,JR,7.4,26.6,11.6,12.7,26,2,0
C3,J1,9.4,27.9,11,11.5,25.9,1.5,0
C3,JR,9.6,27.3,11.4,11.8,25.4,1.5,0
C4,J1,9.3,26.9,10,12.8,26,1,0
C4,JR,9.4,27,10.5,11.9,26,1,0
D1,J1,9.6,27.9,11.2,14.1,28.6,4,0
D1,J2,9,26,12,13,26,4,0
D2,J1,9.6,27.1,13.1,14.4,28.4,1,0
D2,J2,9.9,27,13,13,26,1,0
D3,J1,8.3,25.1,11.2,11.5,25.8,3,0
D3,J2,8.8,24,11.5,10,23,3,0
D4,J1,6.5,19.8,11.2,10.5,21.8,2,0
D4,J2,7,20,13,11.5,24.5,2,0
