选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
A1,J1,,,,,,,,,,,,
B1,J1,9.5,4,8.5,3.8,7.4,8,8,15,8.8,6,3.6,
B2,J1,9.9,4.8,9.8,4.6,9.8,9.6,9.5,19,9.5,9.8,4.7,
B3,J1,,,,,,,,,,,,
B4,J1,,,,,,,,,,,,
