选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9.6,27,11,11.8,26.5,3.5,0
A1,J2,8.8,26.5,12.5,11.5,26.5,3,0
A2,J1,8.5,27,12.5,12.3,28,3.5,0
A2,J2,8.6,27.5,13,12.5,27,4,0
A3,J1,7.8,17,9,7,14,1.5,0
A3,J2,7.5,15,10,10,22.5,2,0
A4,J1,8.4,21,11,10.5,23,1.5,0
A4,J2,8,22,10.5,10.6,23,1.5,0
B1,J1,9.3,24,11.2,11,25,3,0
B1,J2,9,24.5,12,12.5,24,3,0
B2,J1,7.8,23.5,11.3,11,24.8,2,0
B2,J2,7.5,20,10,12,23.5,2,0
B3,J1,8,23.5,14.3,10,23,3.5,0
B3,J2,8.5,27.5,14.5,11,26.5,4,0
C2,J1,8.9,17,10.9,8.2,23.9,2.5,0
C2,J2,8.5,19,11.5,10.5,23,2.5,0
C3,J1,8.9,22,12.9,7.9,22.9,4,0
C3,J2,9,17.5,12,10.5,24.5,4,0
C4,J1,6.5,22,9.5,7,23,2,0
C4,JR,7.9,22.9,10,7.4,21.6,2,0
D1,J1,9.8,25.4,9.4,12.9,26.8,2.5,0
D1,J2,9.5,24,11,13,25,3,0
D2,J1,8.8,20.4,11.7,10.8,20.6,3.5,0
D2,J2,9,20,12,11,20,3.5,0
D3,J1,6.1,22.5,12.2,10.5,24.4,3.5,0
D3,J2,7.8,22,11.5,12,24,3,0
D4,J1,4,14,10.4,4.1,14.5,2,0
D4,J2,2,13,11,4,15,2.5,0
