选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
1,J1,10,3.5,10,4,9.5,8.5,9,19.5,8.5,9,3.5,
2,J2,9,4.5,8,4.6,9.5,8.6,9.4,18.9,8.5,9,3.5,
3,J1,10,3,10,1,4,9,8,12,7,3,3,
4,J2,9.5,4.4,9.6,4.8,9.1,8.8,8.5,18.9,7,8,4,
5,J1,10,4.5,9,3.5,7,10,8,15.5,8,6.5,3,
