选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
1,J1,7,3,7,3,7.5,7,8,15,7.5,7.5,1.5,
1,J2,9.3,4,8,3.8,8.4,8.6,8.4,17,8.8,8.7,3,
2,J1,9,3.5,8.5,4,8,7.5,9,17,8.5,8.5,1.5,
2,J2,9.5,4.3,9.7,4.1,7.5,7.4,8.4,15.5,7,7.3,2.3,
3,J3,10,4.5,9,4,8.5,8,9,17,8,8,4.5,
3,J2,9.8,4.3,9.4,4.7,9.1,8.8,9.5,18.5,8.8,9.5,4.9,
