选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9.1,22.4,8.3,8.9,21.6,1,0
A1,J2,8.8,20.5,8.5,11,22.8,1,0
A2,J1,7.9,25.3,12.9,12.6,26.9,3.5,0
A2,J2,8.3,24.6,12.7,11.5,24.8,3,0
A3,J1,7.8,22.9,12,8.1,17.5,2,0
A3,J2,8.3,23,11.8,10.7,22.8,2,0
A4,J1,4.8,12.5,7.9,7.5,17.6,1,0
A4,J2,5,13,8.5,10,17,1,0
B1,J1,8.5,23.5,10,11,24.5,2.5,0
B1,J2,7.5,22.5,10.2,10.5,23,2.5,0
B2,J1,8.6,27.2,12.3,12,26,3.5,0
B2,J2,8.8,27.8,12.1,11.7,26.5,4,0
B3,J1,6.5,26.2,12.8,6,18,1.5,0
B3,J2,7.5,28,15,6,20.1,1,0
B4,J1,9.4,27,11.8,13,26.8,3.5,0
B4,J2,9,26.7,11.6,13,27.5,3,0
C1,J1,9,27.5,11,12,26.5,3,-20
C1,J2,9.4,27.6,12,12,26.6,2.5,-20
C2,J1,9,26,12.5,12.5,25.5,3,0
C2,J2,9,26,12.6,12,26.5,3.5,0
C3,J1,8.8,24,9.5,11,24,1,0
C3,J2,7.9,23.5,10,11.6,25,1,0
D1,J1,7.9,24.5,12.3,9,22.6,3.5,0
D1,J2,8.5,25.5,12,11,23,4,0
D3,J1,8,21,12.9,10.6,22.5,2,0
D3,J2,8,26,12,11,24,2,0
