选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9.4,27.5,13,12.6,29,0,0
A1,J2,9.2,27,13,12.8,28.5,0,0
A2,J1,9,25,8,10.5,22.5,1.5,0
A2,J2,9,25.5,8.5,10.5,23,1.5,0
A3,J1,8.4,24.8,11.8,11.5,25,1.5,0
A3,J2,8.5,25,11.5,11.5,24,1.5,0
A4,J1,8,29,13.5,13,28,5,0
A4,J2,9,28.5,13,13,28,4.5,0
B1,J1,10,24,12.5,12.6,24,3.5,0
B1,J2,9.3,24.5,12,12,25.5,3,0
B2,J1,9.5,28.1,12.5,12.1,27,3,0
B2,J2,9,27.5,12.5,11.5,25,2.5,0
B4,J1,10,23,10.6,10.5,23,0.5,0
B4,J2,9.5,23,11.5,12,24,1,0
C1,J1,9.6,27.8,10.6,12.8,26,0,0
C1,J2,9.6,28.4,13,13.5,27.5,0,0
C2,J1,8.6,27.8,11.8,13,27.5,1,0
C2,J2,9,28.6,12.5,12.8,27,2,0
D1,J1,9,28,13,14,28,3,0
D1,J2,9.8,28.5,14,14,27.5,3,0
D2,J1,9,28,12,14,27,5,0
D2,JR1,9,29,12.5,14,28,5,0
D3,J1,9.5,29,12.5,13,26,3,0
D3,J2,9.8,28,12.7,13.5,26,3,0
D4,J1,8,25,12,9,23,4,0
D4,JR1,7,22,12,10,22,4.5,0
