选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
1,J1,7.5,21.5,8,10.1,22.5,4.5,0
1,J3,7,22,8.5,10.5,20.5,5,0
2,JR1,9.1,27,11,11.5,26,4,0
2,JR2,9.2,26,12,11.3,25.5,3.5,0
3,J3,8,15,6,8,15,3,0
3,J5,7.2,14.5,5,9,15,3,0
4,J1,7.8,22,10.5,11.3,23.5,4,0
4,J4,8.2,23,11.5,11.3,23,4,0
5,JR1,9,20.4,9.5,10.5,23,5.5,0
5,J5,8,23.5,10,10.3,24.7,4.5,0
6,J1,7.8,22,10,10.5,21,4.5,0
6,J3,7,19,9.5,11,21.5,4,0
7,J2,8.3,24,10.1,12.5,23.9,4.5,0
7,JR1,9,22.5,9.5,11,22,6,0
8,J3,7.8,26,9.8,12,23.9,6.5,0
8,J5,8,24.5,11,12.5,22,6,0
9,J1,9.1,27.2,12.2,12.8,28,6.5,0
9,JR2,8.8,26.5,12.5,12.3,27.5,7,0
10,J2,9,25,10,13,23,4,0
10,J5,8.8,24,10.5,12.5,23,4.5,0
11,J1,8.3,25.5,11,11.3,26,5.5,0
11,JR1,6.8,25.1,10.9,11.2,25,6,0
12,JR1,7,22,10.2,10.3,22.7,5.5,0
12,JR2,8,23,10.5,11,24.5,6,0
