选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
1,J1,9,3,8,2,8,8,8,17,9,9,2,
1,J2,8.5,4,9.5,4.5,8.5,9.5,9,19,8,9,4,
2,J1,9.4,4.4,9,4.3,7.9,7.6,8.4,18.3,8.3,7.4,4.9,
2,J2,9.6,4.4,9.7,4,9,8.9,10,17.4,7.5,7.2,4.3,
3,J1,9,4,7,3,9,9,8.5,16,8.5,8.5,4,
3,J2,9.5,5,7.5,4,9,9,8,18,8,8,4.2,
4,J1,9.4,4.6,8.6,4,9,7.2,6.9,17.7,7.6,7.4,2.3,
4,J2,9.5,4.6,8.6,3.9,9.3,8.5,9.2,17.5,6.3,7.7,1.2,
5,J1,9.5,5,10,4,4,7.5,9,18,8,9,3,
5,J2,9,4.5,9.5,4,5,8,7,18,8,6,5,
6,J1,8.9,4.2,7.5,3.5,6.1,7.1,4.5,14.7,6,3.9,4,
6,J2,8,4,6,4,7.5,6,6,13,5.5,4,5,
7,J1,8,4,9,4,8,9.5,9,18,7.5,7.5,4.5,
7,J2,9,4,9,3,8.5,8,8,18,6,6,4.5,
8,J1,9.5,4.5,9.1,4.7,9.1,9.2,9,17.1,9.3,8.6,3,
8,J2,9.9,4.8,9.5,4.2,9,9.6,9.8,19.1,8.2,9.9,4,
9,J1,10,4,9,3.5,8,7,8,16,8,8,2.5,
9,J2,7.3,3.6,7.8,3.7,8.3,9,8,16,6.9,8,2,
10,J1,10,5,8.5,3.5,7,6,7.5,16.5,7,6,5,
10,J2,8.4,4.3,9,3.6,7.8,8.4,8.5,16.5,9.8,8.7,4.7,
11,J1,9.5,4,10,5,8,8,9.5,19,10,9,2.5,
11,J2,7,3.3,10,5,9.6,9.3,10,17,1,2,0,
12,J1,10,5,10,3,7.5,7,6,15.5,8,6.5,1.5,
12,J2,9.5,4.6,10,5,10,9.1,8,7.5,9.5,8.5,2.5,
