选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A,"JR1,JR2",9.5,28,11.5,13.4,27.8,4,0
B,"JR1,JR2",9.7,27.8,12,12.5,27,2.5,0
C,J1,9,27,12.5,27.4,12.7,3,0
C,J2,8.9,26.8,12,12.1,26.9,3.5,0
D,J1,8.6,27.5,12.9,13,26.7,3.5,0
D,J2,8.1,27.3,12,12.5,27.1,3,0
