选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
A1,J1,8,4,9,4,8,8.5,8.5,17.5,8.5,8,3,
A1,J2,8.5,4,9.4,3.2,8.2,8.5,9,18,8.9,8.8,4.5,
A2,J1,2,1,8,3,7.5,8.5,8,16,8,7,1.5,
A2,J2,7,3.6,8.6,3.2,7.5,8,8.4,15.9,8,8.4,2.8,
A3,J1,8.5,4,9,4,8.5,9,9,18,9,8.5,3,
A3,J2,9.7,4.2,9,4.4,9.2,8.8,9,17.8,9,9.5,4.5,
B1,J1,10,5,9.5,4.5,9.5,9.5,9.5,19,9,9,4,
B1,J2,10,4,9,4,9,8.5,10,18,8,9,3.5,
B3,J1,9.5,4.7,8,3.5,8,8.5,8.5,16.5,8.5,8,3,
B3,J2,9,3.5,9,3,6.5,9,8.5,15.5,7,7,3.5,
C1,J1,8.7,4.6,8.7,4.2,8.9,8.4,9.6,19,7.8,9.2,4.5,
C1,J2,9.7,4.8,9,4.5,9.5,8.8,9.5,18.7,9.2,9.2,4.5,
C2,J1,8.7,4.1,8.4,4,8.2,7.9,8.6,18,8.4,8.6,4,
C2,J2,9,4,8.5,4.2,9,7.8,9,18,8.8,9,1.8,
C3,J1,8.3,4.4,8.4,4,8.2,8,8.7,17.5,8,8.6,4,
C3,J2,9.2,4.5,8.8,4.2,8.8,8,8.7,18,8.5,8.3,3.7,
