选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
A1,J1,9.5,4,9,3.5,9,8,8.5,18.5,8.5,9,3,0
A1,J2,8.5,4,9,4.5,9.5,9.5,9.5,18.5,9,9.5,4.5,0
A2,J1,10,4.5,8.5,3,9,7.5,7.5,17.5,9.5,8.5,0,-10
A2,J2,9.5,4.5,9,4.3,9.5,9.5,9.5,18.5,8.8,9.3,0,-10
A3,J1,8.5,3.5,8,2.5,6,7.5,6,13,5,5,3,0
A3,J2,8.5,4,8,4,7.5,8,7.5,15,8,7,3.5,0
B1,J1,9,4.5,9.4,4.7,9.6,9,9.4,17.5,7.7,8.9,2.5,0
B1,J2,10,5,9.5,4.8,9.8,9.5,9.8,18.5,9,9.5,4.5,0
B3,J1,8.9,4,8.8,3.5,8,8.3,8.2,15.7,8.5,8.5,3.5,0
B3,J2,9.5,4.5,8,4,8.8,8.8,8.8,16,8.5,9,4,0
