选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,7.8,23.8,11.2,10.8,24.3,2.5,0
A1,J2,7.9,23.5,11,10.5,24,2.5,0
A2,J1,9.3,23.9,11.4,10.6,23.8,2,0
A2,J2,8.8,23.8,10.5,10.7,24,2,0
A3,J1,8.3,25.5,12.2,11.7,24.8,3.5,0
A3,J2,8,24.8,11.8,10.8,24.2,3,0
A4,J1,9,26.1,12,11.8,26,3.5,0
A4,J2,9.5,26.5,12,11.5,26,3.5,0
B1,J1,9.8,27.3,12.2,13,27.3,4,0
B1,J2,10,27.5,12.6,12.5,27.5,3.5,0
B2,J1,9.4,27.4,12.3,12.5,27.5,3.5,0
B2,J2,9.3,27,12.3,12.8,27.5,3,0
B3,J1,8.7,24,11.8,10.7,22.8,2.5,0
B3,J2,8.8,24.5,11,10.5,23,2.5,0
B4,J1,8.5,25.2,11.5,11.6,24.5,3,0
B4,J2,8.2,24.8,11.2,10.7,24,3,0
C1,J1,9.4,28,13,13.6,27,4,0
C1,J2,9.6,28,12,15,28,4.5,0
C2,J1,8,22,10,11,22,2.5,0
C2,J2,8,23,11,11.5,23,2.5,0
C3,J1,8.5,25,13,12.5,25,4,0
C3,J2,8.5,26,13.5,12.5,24,4.5,0
C4,J1,8.2,24.5,11.5,11.5,23.5,3.5,0
C4,J2,8,24,10,11.5,23,3.5,0
D1,J1,9.4,27.4,12.5,12.7,27.3,3,0
D1,J2,9.2,27.1,13,12,25,4,0
D3,J1,9.3,27,12.4,11.6,27.4,2,0
D3,J2,9,25.9,12.6,13.6,25.2,4,0
D4,J1,7.7,22.7,10,10.5,23.5,3.5,0
D4,J2,7.6,20.5,10.2,10.4,23.6,3.5,0
