选手码,评委,欣赏性,娱乐性,挑战性,创新性,加分项,扣分项
1,J1,8,52,16,7.5,5,0
1,J2,8,51,15,8,5,0
2,J1,7,24,8,8,3,0
2,J2,7,14,4,7.5,2,0
3,J1,6,50,15,7,2,0
3,J2,7,46,14,6,2,0
4,J1,10,53,16.5,9,4,0
4,J2,10,54,17,6.5,5,0
5,J1,8,52,16,6,4,0
5,J2,7,49,15,6,4,0
6,J1,9,48,13,7,3,0
6,J2,9.5,51,14.5,5.5,4,0
7,J1,5,46,12,3,3,0
7,J2,6.5,43,14,5,3,0
8,J1,6.5,48,15,5,2,0
8,J2,7.7,46,14,5.5,3,0
9,J1,5,44,13,5,2,0
9,J2,5.7,46.5,13.8,5.8,3,0
10,J1,9,51,14,7,3,0
10,J2,9.7,50.4,12.2,7.9,4,0
11,J1,6,47,14,6,3,0
11,J2,6.9,49,13,4.5,3,0
