选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
1A,~J1,8.3,22,10,11.5,24,3,0
1A,J2,8.4,21.8,10.4,11.2,23.7,3,0
1A,JR1,8.8,22,10.7,10.7,22.5,4.5,0
1B,~J1,9.3,28,15,14.5,28.5,7.5,0
1B,J2,9.5,27.5,13.5,13.6,27.6,7.5,0
1B,JR1,9,29.2,13,13.2,27.7,7,0
2A,J1,9.3,27.8,11.8,12,26,5,0
2A,J2,9.5,27.7,12,13,27.5,6,0
2B,J1,7.5,21,10,10.6,23,3,0
2B,J2,7.4,21.5,9.8,9,23,3.5,0
3A,JR,9.7,28.7,13,12.3,26.2,6,0
3A,J2,9.5,28.5,13,12,23,6,0
3B,JR,9.3,26.8,11,12.5,26.5,4,0
3B,J2,9.2,26.5,10.3,13,26.9,4.5,0
4A,J1,9.7,28.3,12.2,13.3,27.5,5.5,0
4A,J2,9.3,28.2,12.3,13,26.8,6,0
