选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9.3,28,13,13.5,28,4,0
A1,J2,9,28.1,13.6,13,27.5,3.5,0
A2,J1,9.2,26,12,12.3,26.5,3,0
A2,J2,9,25.5,12.5,12,26.5,3,0
A3,J1,8.3,23,10,10.5,24.5,2.5,0
A3,J2,8.1,22,10.5,10.5,22.5,1.5,0
A4,J1,9.2,21.5,11,10.5,25,0,0
A4,J2,8.5,18,11.5,10,20,0,0
B1,J1,9.3,27.5,11.8,11.8,25.2,2,0
B1,J2,9,28,12,12.5,25,2.5,0
B2,J1,7.5,20.5,9.5,10,22,2,-20
B2,J2,8,20,8,10,22,2,-20
B3,J1,8,21.3,11,24,11.5,2,0
B3,J2,8,22,11,12,23.5,2.5,0
B4,J1,6.3,22,8.8,10.8,21.3,2.5,0
B4,J2,6,19,9,12,20,3,0
C1,J1,9.7,19.9,12,10.9,23.7,0.5,-20
C1,J2,9.5,17.5,12,12,23,2,-20
C2,J1,6.9,25.5,11.4,12.5,26.1,2,0
C2,J2,7.5,25.5,11,13.5,27.5,2,0
C3,J1,8.5,23,10.5,12.9,27.8,3,0
C3,J2,9,25,10.6,12.5,25.5,2.5,0
C4,J1,5,19,9.1,10.9,17,3,0
C4,J2,6,17.5,10.5,12,18,2.5,0
D1,J1,9.2,25.6,11.8,14.4,28.5,3.5,0
D1,J2,9,28,12,12,27,4,0
D2,J1,8.2,23,12,12,25.5,3.5,0
D2,J2,8,26.5,11.5,12.5,26,3,0
D3,J1,8.6,20,12.8,11.5,19.8,0,0
D3,J2,8,22,12,10,20,0,0
D4,J1,6,17,10,4,15,0,0
D4,J2,5,14,10.5,4,12,0,0
