选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
a1,J1,8.8,23.5,11,8,20,3,0
a1,J2,9.2,24.8,12.1,7.6,19.8,3,0
a2,J1,8.3,25,9.5,10.5,25,4,0
a2,J2,8.7,25.6,9.8,11.6,24.9,3.5,0
a3,J1,9.3,26.5,9.8,12,26,3.5,0
a3,J2,9,26.5,11,12.2,25.6,4,0
a4,J1,8.2,26.5,12,13,25,3.5,0
a4,J2,8.3,26.8,12.2,12.2,25.8,3.5,0
a5,J1,8.5,26,11.8,12.5,26,2.5,0
a5,J2,9.2,27.3,13.2,12.4,25.9,3.5,0
b1,J1,6.8,18,8.8,10,19,2,0
b1,J2,5.7,15,7.5,7.7,18.8,2,0
b2,J1,8.4,20.5,13.5,10.5,23.8,4,0
b2,J2,9,23.6,13,11,24.5,4,0
b3,J1,9.2,28.2,10,13.8,26.5,3.5,0
b3,J2,9.4,28,9.4,14,28.5,4,0
b4,J1,9.3,27.3,10,12.3,26,2.5,0
b4,J2,9.5,24.9,9.7,13.9,26.3,3.5,0
b5,J1,6.5,17,7,9.8,17.5,1.5,0
b5,J2,6.2,15,5,8.3,15,1.5,0
c1,J1,8.6,28.2,13,12.9,27,3.5,0
c1,J2,8.6,26.5,12,12,26.5,3,0
c2,J1,8,25.5,9.9,12.5,24,3,0
c2,J2,7.2,23,12,12,23.5,2,0
c3,J1,9,25,13,13.5,26,4,0
c3,J2,9.6,26.5,12,12,26.5,2,0
c4,J1,8.1,21.5,9.1,11,23,1,0
c4,J2,7.5,22.5,10,11,23.5,1,0
c5,J1,8.3,25.3,8,11,25,2.5,0
c5,J2,8,23,10,11,24,2.5,0
d1,J1,7.2,12,7,6,11.5,1.5,0
d1,J2,6.5,16.5,9.5,6,6,1,0
d2,J1,9.8,28.4,12.5,13.5,28.3,4,0
d2,J2,9.6,29,12,13.5,27.5,4,0
d3,J1,7.9,22.5,12.5,11.8,25.5,0,-30
d3,J2,8.5,25.5,11.5,11.5,26,0,-30
d4,J1,8.1,24.5,12.5,11.8,25.5,4,0
d4,J2,7.5,24,11,12,25,3.5,0
