选手用户名,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
绿色的糖果,J1,9.5,4.6,8.9,4.4,8.2,7.6,8,15.8,8.9,6.1,3,
绿色的糖果,J2,8.5,3,8,3,7.5,9,8.5,15.5,6.5,6,2.5,
TNT与爬行者,J1,9,4,7.5,1.7,3,6.4,7,11,6,3,1.5,
TNT与爬行者,J3,9.5,4.5,9.5,3,6,7,7,11,6,5,3,
