选手码,评委,欣赏性,娱乐性,挑战性,创新性,加分项,扣分项
A,J2,8.2,53,,8.5,8.5,0
A,JR,8.5,56.5,,9,7.5,0
B,J2,9,51,,8.8,7,0
B,JR,8,53,,8.8,6.5,0
C,J1,8.8,54,,8,8,0
C,J2,8.3,51,,7,8,0
D,J1,9.5,54.5,,8,9,0
D,J2,9.1,53,,7.5,8,0
