选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,8,26.5,11.5,12,25.5,5,0
A1,J2,8.3,26,11.2,11.5,25.8,5,0
A2,J1,9.4,26.5,10.5,12,26.5,4,0
A2,J2,9.2,26.5,10.5,11.7,26.3,4,0
A3,J1,9.5,27,8.5,11.5,26.8,5,0
A3,J2,9.3,26.5,10,11.2,26.3,5,0
A4,J1,8.5,26.5,11.5,13,26,5,0
A4,J2,7.5,27.2,13.5,13,26.5,5,0
B1,J1,9.6,28.6,13.4,14,28.5,5,0
B1,J2,9.6,27.5,12.5,13.4,27.7,5,0
B2,J1,8,25,11.2,12.8,26.7,5,0
B2,J2,8.7,27.1,11.9,11.6,26.2,5,0
B3,J1,8.2,26,9,10.5,25,5,0
B3,J2,8.3,24.7,9.8,11.2,25.5,5,0
B4,J1,8.2,23,9,10.5,25.5,2,0
B4,J2,8.5,23.4,10.3,10.8,24.6,2,0
C1,J1,9.5,26,11.5,12,26,5,0
C1,J2,9,26.5,9,12.5,26,5,0
C2,J1,7.5,27,13,13,26.5,5,0
C2,J2,8.9,27.5,13.9,12.7,25.9,5,0
C4,J1,7,24,11,11.5,23,5,0
C4,J2,8,22.9,9.9,11,24,5,0
D1,J1,9.2,27,10,13,27.5,5,0
D1,J2,9.5,26.8,12,11.7,27.1,5,0
D2,J1,9.3,27,11,12.5,26.5,5,0
D2,J2,9.1,26.6,11,12.1,27.3,5,0
D4,J1,8.5,24,10,10,24.5,2,0
D4,J2,9,23.5,11,10.5,24.5,2,0
