选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A2,J1,8.8,20.9,9.4,9.8,21.7,0,-20
A2,J2,8.4,23.5,9.2,9.5,22,0,-20
A3,J1,8.1,25.6,12.4,12.2,25.8,0,-20
A3,J2,8.5,25.5,11,11,25,0,-20
B1,J1,9.7,27.6,12.6,12.8,27.9,0,0
B1,J2,9.5,27.5,13,12.5,26.5,0,0
B2,J1,9.3,28.6,12.8,14,28.3,0,0
B2,J2,9.5,28.8,13.2,13.5,27.5,0,0
B4,J1,7.7,22,11,11.5,24,0,0
B4,J2,8.7,26.5,11.4,11.5,25.5,0,0
C1,J1,9.8,28,11.5,13.6,28,0,-40
C1,J2,9.8,28.5,11.5,14,27,0,-40
C3,J1,8.5,26,13.5,11,24,0,0
C3,J2,9,26,13.5,11.5,25,0,0
C4,J1,8.7,23.5,10,11,23.5,0,0
C4,J2,8.5,21,10,11,23,0,0
D1,J1,8.4,25.6,10.5,10.8,24.7,0,0
D1,J2,8.4,25.1,9.5,10.5,24.6,0,0
D3,J1,8.6,14,9,9.6,18,0,0
D3,J2,8.4,23.7,13.2,10.5,21.4,0,0
D4,J1,6.4,18.5,9.4,9.5,22.2,0,-20
D4,J2,6.4,17.7,9.2,9.6,21.9,0,-20
