选手码,评委,欣赏性,娱乐性,挑战性,创新性,加分项,扣分项
A1,J1,8,52,15,8,,0
A1,J2,9,59,20,8,,0
A2,J1,9.5,55,17.5,7,,0
A2,J2,8,56.5,18,7,,0
A4,J1,6.5,48,13,7.5,,0
A4,J2,7.5,54,16,6,,0
B1,J2,7.5,57.5,17,8,,0
B1,JR,8.2,56,18,8.6,,0
B2,J2,8.5,56,18,7.8,,0
B2,JR,8.2,54.7,18.2,7.5,,0
B3,J2,1,5,2,2,,0
B3,JR,2.2,5,3,4,,0
B4,J2,8.5,54,15,7,,0
B4,JR,9.5,53,17,7,,0
C1,J1,8.8,51,16.3,6.2,,0
C1,J2,8.6,53,17,6.5,,0
C2,J1,9.5,48,18,7,,0
C2,J2,9,50.5,17.7,6,,0
C3,J1,7,49.8,15.9,5.8,,0
C3,J2,7.3,49,15.8,5.5,,0
C4,J1,7,45,17,4.5,,0
C4,J2,8.2,48,15,5.8,,0
D1,J3,9.5,53,17,8,,0
D1,J2,9.4,51.3,17.5,8,,0
D2,J3,5,50,13,6.5,,0
D2,J2,8.5,50,14.5,5,,0
D3,J3,8,45,14,5,,0
D3,J2,7,45.5,14,4,,0
D4,J3,8.5,53.5,17,8,,0
D4,J2,9,52.5,17.5,8,,0
