选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
a1,J1,9,26.1,14,12.4,26.8,2,0
a1,J2,9.4,27.5,13.5,12.2,26,2,0
a2,J1,9,25,11,11.5,24.8,2.5,0
a2,J2,8.7,25.2,10.8,10,23.5,2,0
a3,JR,8.8,24.4,11,12,26,1,0
a3,J2,8.4,25,10.8,11.5,25.5,1.5,0
a4,JR,6.8,21.5,9.4,10.8,23,1.5,-5
a4,J2,7.6,22.8,9.5,10.8,23,1,-5
b1,J1,9.1,22,12,11.5,22.1,2.5,0
b1,J2,8.2,23.8,10.5,12.5,25.2,3,0
b2,J1,9.1,23.2,11.8,13.7,27,3,0
b2,J2,8.7,24,10.7,13.8,27.3,3,0
b3,J1,8.8,25.2,12,13.2,25.3,2.5,0
b3,J2,9,25.8,11.2,13.3,26.2,2.5,0
b4,J1,8.7,24.9,12,12.2,25.2,3,0
b4,J2,8.9,24.6,11.1,12.5,25.7,3,0
c1,J1,9.8,28,10.8,12,28,2,0
c1,J2,8.8,25.5,10,12.5,24,2,0
c2,J1,9.1,27,11.9,13,25.9,3,0
c2,J2,9.8,28,12,13.2,27.5,3,0
c3,J1,7.8,18.5,12.6,11.9,24.5,3.5,0
c3,J2,8.5,21,11,13,23,3,0
c4,J1,6.9,23,13.5,12.6,22.7,2.5,0
c4,J2,5.5,22,14,11.5,24,2,0
d1,J1,8.5,24,14.5,10.5,23,5,0
d1,J2,8.5,25.6,13,10,23.5,4,0
d2,J1,9,26,11.5,13.6,27.5,3,0
d2,J2,9.2,27.5,12,12,27.6,3,0
d4,J1,8,25,10,12.5,25.5,2,0
d4,J2,9.7,25.7,11.5,12,27,3,0
d5,J1,7.5,23,12,11.5,23,2,0
d5,J2,7,24,10.8,11,24.2,1.5,0
