选手码,评委,欣赏性,娱乐性,挑战性,创新性,加分项,扣分项
A,J1,9.5,57,18,9.5,,0
A,J2,9,56,18,9,,0
B,J1,9,48.5,11.5,8,,0
B,J2,9.2,47,10.5,7,,0
C,J1,9,56,16,9,,20
C,J2,9.3,55,16.7,8.5,,20
D,J1,8.5,56,18,9,,0
D,J2,8,54.8,16.8,8.5,,0
