选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
1A,J1,9.7,27.5,12.7,12.5,26,,0
1A,J2,9.8,27.5,11,12.8,27.5,,0
1B,J1,8.5,24.5,10,11.5,23.5,,0
1B,J2,9,25.5,10,11.3,25.5,,0
2A,J1,9.5,28,12.5,13.5,27.5,,0
2A,J2,9,27.6,12,14.3,28,,0
2B,J1,9.5,27,13,11.5,27.5,,0
2B,J2,9.9,28,12,13.4,27.9,,0
3A,J1,9.2,26,11.5,12.1,25,,0
3A,J2,9.2,25.2,10.5,11.2,25,,0
3B,J1,9.3,24.5,11.5,12.5,23,,0
3B,J2,9,24.5,10.5,11.3,25,,0
4A,J1,9,27,12,12.5,27.5,,0
4A,JR,9.3,26,11.5,11.3,26,,0
4B,J1,9,27,13,11.5,27.5,,0
4B,JR,9.5,27.5,13,13.1,27.5,,0
