选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,10,27,11.5,12,26.5,3.5,0
A1,J2,9.5,27,11,12,26,3.5,0
A2,J1,9.6,27,11.4,13,27,4,0
A2,J2,10,27,11,12.5,26.5,3.5,0
A3,J1,9.2,27,10.5,12.6,27.2,3.5,0
A3,J2,9.5,27.5,10.5,12.5,27,3.5,0
A4,J1,8.8,25.5,10.2,11.5,26,3.5,0
A4,J2,9,25,10,11.5,25,3.5,0
B1,J1,9,27,13,12,25.5,4.5,0
B1,J2,8.8,27.5,12.8,11.5,26,4,0
B2,J1,9,26,12,11.3,25.5,3.5,0
B2,J2,8.5,26,11.2,11,25,3,0
C2,J1,9.2,26.3,10.8,11.8,25,2.5,0
C2,J2,9.2,26.2,13,12,26.8,2.5,0
C4,J1,8,25.8,10.8,10.3,24,2.5,0
C4,J2,8.2,26.3,12.3,10.2,25,3,0
D1,J1,9.5,27.5,12,14,27,3,0
D1,JR1,10,27.5,11,13,28,2.5,0
D2,J1,9,26.5,11.5,12,26,4,0
D2,JR1,10,27,10.5,13,27,3,0
D4,J1,9,26,11.5,12,26.5,2,0
D4,JR1,7.5,24,9.5,11,25,1.5,0
