选手码,大众评分员,欣赏性,创新性,设计性,游戏性,附加分,扣分
A1,13,6,2,1,1,0,-20
A1,38,9,4,2,0,0,-20
A1,77,6,2,1,1,0,-20
A1,29,7,0,0,0,0,-20
A1,18,8,1,1,1,0,-20
B1,13,9,6,7,8,3,0
B2,13,10,9,9,10,4,0
B3,13,9,7,6,6,1,0
B4,13,9,10,8,9,2,0
B1,77,9,9,8,8,3,0
B2,77,9,8,9,9,4,0
B3,77,8,9,8,8,2,0
B4,77,9,8,6,7,2,0
B1,29,8,6,7,9,4,0
B2,29,8,8,9,8,3,0
B3,29,8,7,8,8,2,0
B4,29,8,8,9,7,2,0
