选手码,大众评分员,欣赏性,创新性,设计性,游戏性,附加分,扣分
F,无视我233,7,3,3,2,0,0
F,1168438795,1,0,0,0,0,0
F,马里奥奥里马,6,1,1,1,1,0
F,Fahlee,6,1,1,1,0,0
F,玛丽的死对头,7,2,1,1,0,0
H,无视我233,8,10,10,10,5,0
H,1168438795,10,9,10,9,5,0
H,马里奥奥里马,10,9,10,10,5,0
H,Fahlee,9,8,8,9,5,0
H,玛丽的死对头,10,9,10,10,5,0
B,无视我233,9,9,10,10,5,0
B,1168438795,8,9,9,9,5,0
B,马里奥奥里马,10,9,9,9,4,0
B,Fahlee,9,8,9,9,5,0
B,玛丽的死对头,10,9,10,10,5,0
B,有名氏,10,9,9,9,5,0
E,无视我233,7,8,7,7,4,0
E,1168438795,8,8,7,7,4,0
E,马里奥奥里马,9,7,8,8,3,0
E,Fahlee,8,7,7,8,3,0
E,玛丽的死对头,10,8,9,9,4,0
E,有名氏,9,8,9,8,4,0
G,无视我233,7,8,8,8,3,0
G,1168438795,7,8,7,6,1,0
G,马里奥奥里马,7,6,5,5,1,0
G,Fahlee,8,8,8,7,0,0
G,玛丽的死对头,8,8,7,6,2,0
G,有名氏,8,9,8,8,3,0
