选手码,大众评分员,欣赏性,创新性,设计性,游戏性,附加分,扣分
S,77,4,1,1,1,0,
M,77,10,9,8,7,5,
W,77,10,9,10,7,2,
P,77,10,9,8,8,4,
S,13,3,1,1,0,0,
M,13,9,10,10,9,4,
W,13,10,10,9,8,4,
P,13,8,8,8,8,3,
S,67,1,1,1,1,3,
M,67,7,8,8,7,3,
W,67,8,6,9,7,4,
P,67,8,8,9,8,5,
S,29,1,0,0,0,0,
M,29,9,9,10,7,5,
W,29,9,7,10,6,3,
P,29,7,7,8,8,3,
S,18,6,1,1,1,1,
M,18,9,10,10,7,5,
W,18,9,9,10,7,4,
P,18,9,8,8,9,5,
