选手码,大众评分员,欣赏性,创新性,设计性,游戏性,附加分,扣分
A1,13,8,10,8,9,5,
A1,38,7,10,8,8,4,
A1,77,8,10,10,8,5,
A1,29,6,10,9,9,5,
A1,18,7,10,10,8,5,
B1,13,7,8,7,8,4,
B2,13,9,10,10,9,5,
B3,13,9,9,9,9,4,
B4,13,9,8,9,10,2,
B1,77,7,10,9,8,4,
B2,77,8,8,9,6,4,
B3,77,7,9,9,7,4,
B4,77,9,7,8,10,1,
B1,29,7,8,8,6,5,
B2,29,8,9,10,9,5,
B3,29,8,8,10,9,5,
B4,29,8,7,7,8,2,
