选手码,大众评分员,欣赏性,创新性,设计性,游戏性,附加分,扣分
A1,13,8,6,8,8,1,
A3,13,7,7,6,6,3,
A1,38,8,6,7,6,1,
A3,38,6,8,8,7,3,
A1,77,9,9,8,7,2,
A3,77,10,10,7,9,3,
A1,29,7,4,6,6,1,
A3,29,7,7,7,7,2,
A1,18,7,6,7,7,2,
A3,18,7,6,7,7,3,
B3,13,9,10,9,10,5,
B3,77,8,9,8,9,5,
B3,29,8,7,9,6,4,
